TestCaseNo.,DailyInCount,DailyInAltCount,DailyInValue,DailyInAltValue,DailyOutCount,DailyOutAltCount,DailyOutValue,DailyOutAltValue,DailySubscriberOutCount,DailySubscriberOutAltCount,DailySubscriberOutValue,DailySubscriberOutAltValue,DailySubscriberInCount,DailySubscriberInAltCount,DailySubscriberInValue,DailySubscriberInAltValue,WeeklyInCount,WeeklyInAltCount,WeeklyInValue,WeeklyInAltValue,WeeklyOutCount,WeeklyOutAltCount,WeeklyOutValue,WeeklyOutAltValue,WeeklySubscriberOutCount,WeeklySubscriberOutAltCount,WeeklySubscriberOutValue,WeeklySubscriberOutAltValue,WeeklySubscriberOutCount,WeeklySubscriberOutAltCount,WeeklySubscriberOutValue,WeeklySubscriberOutAltValue,MonthlyInCount,MonthlyInAltCount,MonthlyInValue,MonthlyInAltValue,MonthlyOutCount,MonthlyOutAltCount,MonthlyOutValue,MonthlyOutAltValue,MonthlySubscriberOutCount,MonthlySubscriberOutAltCount,MonthlySubscriberOutValue,MonthlySubscriberOutAltValue,MonthlySubscriberInCount,MonthlySubscriberInAltCount,MonthlySubscriberInValue,MonthlySubscriberInAltValue
TEST011,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST012,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST013,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST014,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST015,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST016,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST017,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST018,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST019,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST020,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST021,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST022,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST023,,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST024,100,,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST025,100,90,,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST026,100,90,10000,,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST027,100,90,10000,100,,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST028,100,90,10000,100,100,,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST029,100,90,10000,100,100,90,,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST030,100,90,10000,100,100,90,10000,,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST031,100,90,10000,100,100,90,10000,100,,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST032,100,90,10000,100,100,90,10000,100,100,,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST033,100,90,10000,100,100,90,10000,100,100,90,,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST034,100,90,10000,100,100,90,10000,100,100,90,10000,,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST035,100,90,10000,100,100,90,10000,100,100,90,10000,100,,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST036,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST037,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST038,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST039,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST040,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST041,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST042,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST043,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST044,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST045,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST046,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST047,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST048,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST049,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST050,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST051,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST052,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST053,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST054,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST055,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST056,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST057,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST058,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST059,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST060,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST061,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST062,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,,10000,9900,100000,10000,1000,9900,100000,10000
TEST063,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,,9900,100000,10000,1000,9900,100000,10000
TEST064,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,,100000,10000,1000,9900,100000,10000
TEST065,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,,10000,1000,9900,100000,10000
TEST066,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,,1000,9900,100000,10000
TEST067,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,,9900,100000,10000
TEST068,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,,100000,10000
TEST069,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,,10000
TEST070,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,
TEST071,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST072,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST073,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST074,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST075,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST076,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST077,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST078,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST079,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST080,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST081,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST082,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST083,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST084,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST085,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST086,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST087,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST088,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST089,-100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST090,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,-1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST091,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,-10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST092,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST093,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST094,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST095,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST096,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
TEST097,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000,1000,9900,100000,10000
